name_category;img_category;url_category;title
Хлебобулочные изделия и выпечка;bd9af0668a003c0864b1652c795c4a67.png;https://ru.sas.am/categories/%D0%A5%D0%BB%D0%B5%D0%B1%D0%BE%D0%B1%D1%83%D0%BB%D0%BE%D1%87%D0%BD%D1%8B%D0%B5_%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F_%D0%B8_%D0%B2%D1%8B%D0%BF%D0%B5%D1%87%D0%BA%D0%B0_1045/;True
Хлеб;0b81f6e6c55a2e9efe122a6107550142.jpg;https://ru.sas.am/categories/%D0%A5%D0%BB%D0%B5%D0%B1_1059/;False
Белый;35c451f723cd840a4cba1cbd989a165d.jpg;https://ru.sas.am/categories/%D0%91%D0%B5%D0%BB%D1%8B%D0%B9_1064/;False
Черный, серый;4c24bd1c53cfce68f3578b4b5bf988d6.jpg;https://ru.sas.am/categories/%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D1%81%D0%B5%D1%80%D1%8B%D0%B9_2751/;False
Диетический;6ce4f5bce764c2ad2a68bad5f96a123c.jpg;https://ru.sas.am/categories/%D0%94%D0%B8%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_1068/;False
Лаваш;d5f3e4a503a745571b4dff6c70bba14e.jpg;https://ru.sas.am/categories/%D0%9B%D0%B0%D0%B2%D0%B0%D1%88_1066/;False
Другие;45147b29d5dcef4fdac3e27e466231cd.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_3245/;False
Выпечка;218b14bbeef8132ab0a9ffcad9ec60fc.jpg;https://ru.sas.am/categories/%D0%92%D1%8B%D0%BF%D0%B5%D1%87%D0%BA%D0%B0_1061/;False
Булочка;a120d139f7073cb7dfcdf350e96426be.jpg;https://ru.sas.am/categories/%D0%91%D1%83%D0%BB%D0%BE%D1%87%D0%BA%D0%B0_1074/;False
Слойки;798bebc96d42de0ff1489cddff953f57.jpg;https://ru.sas.am/categories/%D0%A1%D0%BB%D0%BE%D0%B9%D0%BA%D0%B8__2753/;False
Пирожок;4a64120882b923655e26162d3dc44462.jpg;https://ru.sas.am/categories/%D0%9F%D0%B8%D1%80%D0%BE%D0%B6%D0%BE%D0%BA_1076/;False
Другие;b50cdb8555e558801f619688830743ec.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_3247/;False
Донатс;f91392cd2efaea703eece8df33acfb75.jpg;https://ru.sas.am/categories/%D0%94%D0%BE%D0%BD%D0%B0%D1%82%D1%81_3246/;False
Пирожное;8c7ccbf02de5df6b3bd050a96d88d350.png;https://ru.sas.am/categories/%D0%9F%D0%B8%D1%80%D0%BE%D0%B6%D0%BD%D0%BE%D0%B5_1060/;False
Бисквитное;cb33bb0048e440ca090e48d962285b16.jpg;https://ru.sas.am/categories/%D0%91%D0%B8%D1%81%D0%BA%D0%B2%D0%B8%D1%82%D0%BD%D0%BE%D0%B5__1069/;False
Песочное;edb6ee47ee591ecb82fd4267092b483a.jpg;https://ru.sas.am/categories/%D0%9F%D0%B5%D1%81%D0%BE%D1%87%D0%BD%D0%BE%D0%B5__1072/;False
Слоеное;c051201051fdc87c6addc6de7e14122c.jpg;https://ru.sas.am/categories/%D0%A1%D0%BB%D0%BE%D0%B5%D0%BD%D0%BE%D0%B5__1073/;False
Другие;4c106053355df74cf213b4d9a7276d9d.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_2752/;False
