name_category,img_category,url_category
Հացաբուլկեղեն և թխվածքներ,bd9af0668a003c0864b1652c795c4a67.png,https://www.sas.am/categories/%D5%80%D5%A1%D6%81%D5%A1%D5%A2%D5%B8%D6%82%D5%AC%D5%AF%D5%A5%D5%B2%D5%A5%D5%B6_%D6%87_%D5%A9%D5%AD%D5%BE%D5%A1%D5%AE%D6%84%D5%B6%D5%A5%D6%80_1045/
Հաց,0b81f6e6c55a2e9efe122a6107550142.jpg,https://www.sas.am/categories/%D5%80%D5%A1%D6%81_1059/
Սպիտակ,35c451f723cd840a4cba1cbd989a165d.jpg,https://www.sas.am/categories/%D5%8D%D5%BA%D5%AB%D5%BF%D5%A1%D5%AF_1064/
Սև, գորշ,4c24bd1c53cfce68f3578b4b5bf988d6.jpg,https://www.sas.am/categories/%D5%8D%D6%87_%D5%A3%D5%B8%D6%80%D5%B7__2751/
Դիետիկ,6ce4f5bce764c2ad2a68bad5f96a123c.jpg,https://www.sas.am/categories/%D4%B4%D5%AB%D5%A5%D5%BF%D5%AB%D5%AF_1068/
Լավաշ,d5f3e4a503a745571b4dff6c70bba14e.jpg,https://www.sas.am/categories/%D4%BC%D5%A1%D5%BE%D5%A1%D5%B7_1066/
Այլ,45147b29d5dcef4fdac3e27e466231cd.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC__3245/
Թխվածք,218b14bbeef8132ab0a9ffcad9ec60fc.jpg,https://www.sas.am/categories/%D4%B9%D5%AD%D5%BE%D5%A1%D5%AE%D6%84_1061/
Բուլկի,a120d139f7073cb7dfcdf350e96426be.jpg,https://www.sas.am/categories/%D4%B2%D5%B8%D6%82%D5%AC%D5%AF%D5%AB_1074/
Շերտավոր խմորեղեն,798bebc96d42de0ff1489cddff953f57.jpg,https://www.sas.am/categories/%D5%87%D5%A5%D6%80%D5%BF%D5%A1%D5%BE%D5%B8%D6%80_%D5%AD%D5%B4%D5%B8%D6%80%D5%A5%D5%B2%D5%A5%D5%B6_2753/
Կարկանդակ,4a64120882b923655e26162d3dc44462.jpg,https://www.sas.am/categories/%D4%BF%D5%A1%D6%80%D5%AF%D5%A1%D5%B6%D5%A4%D5%A1%D5%AF_1076/
Այլ,b50cdb8555e558801f619688830743ec.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC__3247/
Դոնաթ,f91392cd2efaea703eece8df33acfb75.jpg,https://www.sas.am/categories/%D4%B4%D5%B8%D5%B6%D5%A1%D5%A9__3246/
Խմորեղեն,8c7ccbf02de5df6b3bd050a96d88d350.png,https://www.sas.am/categories/%D4%BD%D5%B4%D5%B8%D6%80%D5%A5%D5%B2%D5%A5%D5%B6__1060/
Բիսկվիթային,cb33bb0048e440ca090e48d962285b16.jpg,https://www.sas.am/categories/%D4%B2%D5%AB%D5%BD%D5%AF%D5%BE%D5%AB%D5%A9%D5%A1%D5%B5%D5%AB%D5%B6__1069/
Փխրուն,edb6ee47ee591ecb82fd4267092b483a.jpg,https://www.sas.am/categories/%D5%93%D5%AD%D6%80%D5%B8%D6%82%D5%B6__1072/
Շերտավոր,c051201051fdc87c6addc6de7e14122c.jpg,https://www.sas.am/categories/%D5%87%D5%A5%D6%80%D5%BF%D5%A1%D5%BE%D5%B8%D6%80_1073/
Այլ,4c106053355df74cf213b4d9a7276d9d.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_2752/
Տորթ,3d34ca313beb4c6d3560f42fc3cc1899.png,https://www.sas.am/categories/%D5%8F%D5%B8%D6%80%D5%A9_1062/
Բիսկվիթային,bc3cf7e7a0903d39ca001b7d938e1d0f.jpg,https://www.sas.am/categories/%D4%B2%D5%AB%D5%BD%D5%AF%D5%BE%D5%AB%D5%A9%D5%A1%D5%B5%D5%AB%D5%B6__1078/
Դոնդողով,29a4dbc69797a96892aa67644684e8e7.jpg,https://www.sas.am/categories/%D4%B4%D5%B8%D5%B6%D5%A4%D5%B8%D5%B2%D5%B8%D5%BE__2755/
Արևելյան քաղցրավենիք, գաթա,709f289f66cc2301e726c24b83133e88.jpg,https://www.sas.am/categories/%D4%B1%D6%80%D6%87%D5%A5%D5%AC%D5%B5%D5%A1%D5%B6_%D6%84%D5%A1%D5%B2%D6%81%D6%80%D5%A1%D5%BE%D5%A5%D5%B6%D5%AB%D6%84_%D5%A3%D5%A1%D5%A9%D5%A1__3248/
Կաթնամթերք,f094b87485bfba4f35695a5c0da06b22.png,https://www.sas.am/categories/%D4%BF%D5%A1%D5%A9%D5%B6%D5%A1%D5%B4%D5%A9%D5%A5%D6%80%D6%84_1048/
Կաթ,d6ec1da3235e0c041a886c7cf6f101ed.jpg,https://www.sas.am/categories/%D4%BF%D5%A1%D5%A9_2805/
Կարագ, մարգարին,2c4de304a66f19ce7b9e71d2a4daa244.jpg,https://www.sas.am/categories/%D4%BF%D5%A1%D6%80%D5%A1%D5%A3_%D5%B4%D5%A1%D6%80%D5%A3%D5%A1%D6%80%D5%AB%D5%B6__1163/
Խտացրած կաթ,88f943de17a2429a2f10279edca15400.jpg,https://www.sas.am/categories/%D4%BD%D5%BF%D5%A1%D6%81%D6%80%D5%A1%D5%AE_%D5%AF%D5%A1%D5%A9_2750/
Կեֆիր,7e7eb1ae1f01952adea9fec4eb02aec0.jpg,https://www.sas.am/categories/%D4%BF%D5%A5%D6%86%D5%AB%D6%80_2806/
Թան, մածնաբրդոշ,351ed680e26fafcd9d51e9dd237d41ee.jpg,https://www.sas.am/categories/%D4%B9%D5%A1%D5%B6_%D5%B4%D5%A1%D5%AE%D5%B6%D5%A1%D5%A2%D6%80%D5%A4%D5%B8%D5%B7_2807/
Մածուն,f1f12534f39a93121e71ce06ce004672.jpg,https://www.sas.am/categories/%D5%84%D5%A1%D5%AE%D5%B8%D6%82%D5%B6_2808/
Թթվասեր,e3a1ae401001bd7dbe8c3f91caae3290.jpg,https://www.sas.am/categories/%D4%B9%D5%A9%D5%BE%D5%A1%D5%BD%D5%A5%D6%80_1151/
Կաթնաշոռային արտադրանք,bce93e991a6bd3b523f236c34402dfca.jpg,https://www.sas.am/categories/%D4%BF%D5%A1%D5%A9%D5%B6%D5%A1%D5%B7%D5%B8%D5%BC%D5%A1%D5%B5%D5%AB%D5%B6_%D5%A1%D6%80%D5%BF%D5%A1%D5%A4%D6%80%D5%A1%D5%B6%D6%84_1152/
Գյուղական կաթնամթերք,fc0bbad5d316298ed6cc5f6a03761224.jpg,https://www.sas.am/categories/%D4%B3%D5%B5%D5%B8%D6%82%D5%B2%D5%A1%D5%AF%D5%A1%D5%B6_%D5%AF%D5%A1%D5%A9%D5%B6%D5%A1%D5%B4%D5%A9%D5%A5%D6%80%D6%84_6500/
Յոգուրտներ, սերուցքներ,eb79363539beb46b745d115f78e176e7.jpg,https://www.sas.am/categories/%D5%85%D5%B8%D5%A3%D5%B8%D6%82%D6%80%D5%BF%D5%B6%D5%A5%D6%80_%D5%BD%D5%A5%D6%80%D5%B8%D6%82%D6%81%D6%84%D5%B6%D5%A5%D6%80_1144/
Ըմպելի յոգուրտ,2e531d3d158ca2112a06a8887d180974.jpg,https://www.sas.am/categories/%D4%B8%D5%B4%D5%BA%D5%A5%D5%AC%D5%AB_%D5%B5%D5%B8%D5%A3%D5%B8%D6%82%D6%80%D5%BF_1155/
Յոգուրտ, պուդինգ,29fd2ed8ac075ee7c492f08076804371.jpg,https://www.sas.am/categories/%D5%85%D5%B8%D5%A3%D5%B8%D6%82%D6%80%D5%BF_%D5%BA%D5%B8%D6%82%D5%A4%D5%AB%D5%B6%D5%A3_1154/
Սերուցք, կոկտեյլ,d435ccee9d242db6ab56b2186af0306f.jpg,https://www.sas.am/categories/%D5%8D%D5%A5%D6%80%D5%B8%D6%82%D6%81%D6%84_%D5%AF%D5%B8%D5%AF%D5%BF%D5%A5%D5%B5%D5%AC_2800/
Այլ,e18cc3af74a6e9aec23338960df8356c.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_2801/
Պանիր,bde98aa06021e541a158ab111e9e6094.jpg,https://www.sas.am/categories/%D5%8A%D5%A1%D5%B6%D5%AB%D6%80_1145/
Հայկական,6495cee061f08226660c8423ffc48a70.jpg,https://www.sas.am/categories/%D5%80%D5%A1%D5%B5%D5%AF%D5%A1%D5%AF%D5%A1%D5%B6_2802/
Ներմուծված,c6f39362827d75f092f9ede00cb29096.jpg,https://www.sas.am/categories/%D5%86%D5%A5%D6%80%D5%B4%D5%B8%D6%82%D5%AE%D5%BE%D5%A1%D5%AE_2803/
Այլ,c9f1148d7d7e8fb1dff42585bcd344d9.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_2809/
Նպարեղեն,09a36efd4b4b11ffdf044bd589a9b29e.png,https://www.sas.am/categories/%D5%86%D5%BA%D5%A1%D6%80%D5%A5%D5%B2%D5%A5%D5%B6_1046/
Մակարոնեղեն,7088d8d4ea00f30506a02398cd52e071.jpg,https://www.sas.am/categories/%D5%84%D5%A1%D5%AF%D5%A1%D6%80%D5%B8%D5%B6%D5%A5%D5%B2%D5%A5%D5%B6_1082/
Մակարոն,11e525e670d4520cc4a54f9bf5d2854a.png,https://www.sas.am/categories/%D5%84%D5%A1%D5%AF%D5%A1%D6%80%D5%B8%D5%B6_1089/
Վերմիշել, լապշա,4d604ed8b86d31a6f6bffa4a330ce8a0.jpg,https://www.sas.am/categories/%D5%8E%D5%A5%D6%80%D5%B4%D5%AB%D5%B7%D5%A5%D5%AC_%D5%AC%D5%A1%D5%BA%D5%B7%D5%A1_2759/
Սպագետի,99068319c680f18507f11cfe2a305da2.jpg,https://www.sas.am/categories/%D5%8D%D5%BA%D5%A1%D5%A3%D5%A5%D5%BF%D5%AB_1090/
Լազանյա, կանելոնի,ef5f4c6d950be78e48729ede234b797d.jpg,https://www.sas.am/categories/%D4%BC%D5%A1%D5%A6%D5%A1%D5%B6%D5%B5%D5%A1_%D5%AF%D5%A1%D5%B6%D5%A5%D5%AC%D5%B8%D5%B6%D5%AB__1091/
Այլ,f656de2478272acbe1c7e42e3ea9ff96.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_2760/
Ձավարեղեն,a12310876987e082abca59ceb835cb0a.jpg,https://www.sas.am/categories/%D5%81%D5%A1%D5%BE%D5%A1%D6%80%D5%A5%D5%B2%D5%A5%D5%B6_1083/
Հնդկաձավար,ffad06fe175afcd1a5cf8b1f14b9eb83.jpg,https://www.sas.am/categories/%D5%80%D5%B6%D5%A4%D5%AF%D5%A1%D5%B1%D5%A1%D5%BE%D5%A1%D6%80_1093/
Բլղուր, ցորենի ձավար,e6e63262bde8ec01628b9bc9ea71e7cf.jpg,https://www.sas.am/categories/%D4%B2%D5%AC%D5%B2%D5%B8%D6%82%D6%80_%D6%81%D5%B8%D6%80%D5%A5%D5%B6%D5%AB_%D5%B1%D5%A1%D5%BE%D5%A1%D6%80_2762/
Սպիտակաձավար, հաճար,7da0a4f1643b9865ba95d2986a5adb72.jpg,https://www.sas.am/categories/%D5%8D%D5%BA%D5%AB%D5%BF%D5%A1%D5%AF%D5%A1%D5%B1%D5%A1%D5%BE%D5%A1%D6%80_%D5%B0%D5%A1%D5%B3%D5%A1%D6%80_2763/
Այլ,993cd731af0f66735fe0d8e8886c3dfd.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_2764/
Բրինձ,71462eda9c20a3132037e42b74ebd262.jpg,https://www.sas.am/categories/%D4%B2%D6%80%D5%AB%D5%B6%D5%B1_1092/
Ալյուր,31b6ae2d1cf967b13e85c6d472877801.jpg,https://www.sas.am/categories/%D4%B1%D5%AC%D5%B5%D5%B8%D6%82%D6%80_2756/
Ցորենի,8f4a1e7cc8dbe15ecc480480e7c4682f.jpg,https://www.sas.am/categories/%D5%91%D5%B8%D6%80%D5%A5%D5%B6%D5%AB_2765/
Այլ,5e2257729c9d0b76361896a255411aa2.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_2766/
Ձեթ, յուղ,0cc8bba61abd78e6d51f43ae118f530f.jpg,https://www.sas.am/categories/%D5%81%D5%A5%D5%A9_%D5%B5%D5%B8%D6%82%D5%B2_1084/
Ձեթ,b6e78018763ce3f320f2a9c8f87b2eeb.jpg,https://www.sas.am/categories/%D5%81%D5%A5%D5%A9__1097/
Յուղ,2df20adfc5930856a1924b4b1e183d6c.jpg,https://www.sas.am/categories/%D5%85%D5%B8%D6%82%D5%B2__1098/
Կետչուպ, մայոնեզ, սոուս,36c7ab2788adfdbbd0c7e39d70a98248.jpg,https://www.sas.am/categories/%D4%BF%D5%A5%D5%BF%D5%B9%D5%B8%D6%82%D5%BA_%D5%B4%D5%A1%D5%B5%D5%B8%D5%B6%D5%A5%D5%A6_%D5%BD%D5%B8%D5%B8%D6%82%D5%BD_1085/
Կետչուպ,1f3b6368cf2c5d8fdad49d177fa164c0.jpg,https://www.sas.am/categories/%D4%BF%D5%A5%D5%BF%D5%B9%D5%B8%D6%82%D5%BA_1099/
