name_category,img_category,url_category,title
Bakery Goods, Buns and Rolls,bd9af0668a003c0864b1652c795c4a67.png,https://en.sas.am/categories/Bakery_Goods_Buns_and_Rolls_1045/,True
Bread,0b81f6e6c55a2e9efe122a6107550142.jpg,https://en.sas.am/categories/Bread_1059/,False
White,35c451f723cd840a4cba1cbd989a165d.jpg,https://en.sas.am/categories/White_1064/,False
Black, grey,4c24bd1c53cfce68f3578b4b5bf988d6.jpg,https://en.sas.am/categories/Black_grey__2751/,False
Dietary,6ce4f5bce764c2ad2a68bad5f96a123c.jpg,https://en.sas.am/categories/Dietary_1068/,False
Lavash,d5f3e4a503a745571b4dff6c70bba14e.jpg,https://en.sas.am/categories/Lavash_1066/,False
Other,45147b29d5dcef4fdac3e27e466231cd.jpg,https://en.sas.am/categories/Other__3245/,False
Buns and rolls,218b14bbeef8132ab0a9ffcad9ec60fc.jpg,https://en.sas.am/categories/Buns_and_rolls__1061/,False
Rolls,a120d139f7073cb7dfcdf350e96426be.jpg,https://en.sas.am/categories/Rolls_1074/,False
Puffs,798bebc96d42de0ff1489cddff953f57.jpg,https://en.sas.am/categories/Puffs_2753/,False
Pasty,4a64120882b923655e26162d3dc44462.jpg,https://en.sas.am/categories/Pasty_1076/,False
Other,b50cdb8555e558801f619688830743ec.jpg,https://en.sas.am/categories/Other__3247/,False
Doughnut,f91392cd2efaea703eece8df33acfb75.jpg,https://en.sas.am/categories/Doughnut__3246/,False
Pastry,8c7ccbf02de5df6b3bd050a96d88d350.png,https://en.sas.am/categories/Pastry__1060/,False
Sponge cakes,cb33bb0048e440ca090e48d962285b16.jpg,https://en.sas.am/categories/Sponge_cakes_1069/,False
Shortcakes,edb6ee47ee591ecb82fd4267092b483a.jpg,https://en.sas.am/categories/Shortcakes__1072/,False
Puff pastry,c051201051fdc87c6addc6de7e14122c.jpg,https://en.sas.am/categories/Puff_pastry_1073/,False
Other,4c106053355df74cf213b4d9a7276d9d.jpg,https://en.sas.am/categories/Other_2752/,False
Cakes,3d34ca313beb4c6d3560f42fc3cc1899.png,https://en.sas.am/categories/Cakes_1062/,False
Sponge cakes,bc3cf7e7a0903d39ca001b7d938e1d0f.jpg,https://en.sas.am/categories/Sponge_cakes_1078/,False
Jelly,29a4dbc69797a96892aa67644684e8e7.jpg,https://en.sas.am/categories/Jelly__2755/,False
Eastern sweets, gata,709f289f66cc2301e726c24b83133e88.jpg,https://en.sas.am/categories/Eastern_sweets_gata__3248/,False
Dairy ,f094b87485bfba4f35695a5c0da06b22.png,https://en.sas.am/categories/Dairy__1048/,True
Milk,d6ec1da3235e0c041a886c7cf6f101ed.jpg,https://en.sas.am/categories/Milk_2805/,True
Butter, margarine,2c4de304a66f19ce7b9e71d2a4daa244.jpg,https://en.sas.am/categories/Butter_margarine__1163/,True
Condensed milk,88f943de17a2429a2f10279edca15400.jpg,https://en.sas.am/categories/Condensed_milk__2750/,True
Kefir,7e7eb1ae1f01952adea9fec4eb02aec0.jpg,https://en.sas.am/categories/Kefir__2806/,True
Tan, okroshka,351ed680e26fafcd9d51e9dd237d41ee.jpg,https://en.sas.am/categories/Tan_okroshka__2807/,True
